anyo;mes;dia;camas_totales;camas_ocupadas
2020;4;23;1143;1124
2020;4;24;1113;966
2020;4;25;1068;514
2020;4;26;838;810
2020;4;27;723;513
2020;4;28;860;730
2020;4;29;977;891
2020;4;30;522;339
2020;5;1;815;677
2020;5;2;757;567
2020;5;3;1044;511
2020;5;4;1181;1093
2020;5;5;1194;1144
2020;5;6;1092;966
2020;5;7;946;303
2020;5;8;638;423
2020;5;9;1098;363
2020;5;10;1052;674
2020;5;11;652;332
2020;5;12;1109;930
2020;5;13;520;344
2020;5;14;655;426
2020;5;15;642;405
2020;5;16;1113;425
2020;5;17;840;308
2020;5;18;710;481
2020;5;19;1178;520
2020;5;20;1163;511
2020;5;21;761;564
2020;5;22;915;862
2020;5;23;998;330
2020;5;24;1040;714
2020;5;25;604;480
2020;5;26;778;745
2020;5;27;704;430
2020;5;28;525;388
2020;5;29;1018;984
2020;5;30;932;907
2020;5;31;577;442
2020;6;1;1074;445
2020;6;2;920;376
2020;6;3;704;634
2020;6;4;545;463
2020;6;5;686;400
2020;6;6;1132;590
2020;6;7;1131;949
2020;6;8;554;456
2020;6;9;1090;684
2020;6;10;1022;479
2020;6;11;502;500
2020;6;12;662;344
2020;6;13;623;430
2020;6;14;896;304
2020;6;15;507;354
2020;6;16;962;920
2020;6;17;1151;697
2020;6;18;903;414
2020;6;19;769;384
2020;6;20;874;645
2020;6;21;817;733
2020;6;22;894;555
2020;6;23;641;301
2020;6;24;609;563
2020;6;25;821;642
2020;6;26;996;514
2020;6;27;809;648
2020;6;28;1026;725
2020;6;29;979;348
2020;6;30;1135;992
2020;7;1;1027;559
2020;7;2;897;448
2020;7;3;767;379
2020;7;4;1000;657
2020;7;5;706;682
2020;7;6;1026;377
2020;7;7;878;609
2020;7;8;751;682
2020;7;9;1076;689
2020;7;10;753;589
2020;7;11;528;320
2020;7;12;642;616
2020;7;13;1167;1034
2020;7;14;712;460
2020;7;15;1112;738
2020;7;16;862;359
2020;7;17;1037;1010
2020;7;18;755;550
2020;7;19;889;722
2020;7;20;1060;349
2020;7;21;805;791
2020;7;22;1067;892
2020;7;23;505;380
2020;7;24;1029;742
2020;7;25;625;442
2020;7;26;958;734
2020;7;27;712;323
2020;7;28;1183;530
2020;7;29;682;392
2020;7;30;741;539
2020;7;31;1183;695
2020;8;1;918;579
2020;8;2;689;318
2020;8;3;920;475
2020;8;4;501;329
2020;8;5;957;553
2020;8;6;868;600
2020;8;7;910;873
2020;8;8;998;733
2020;8;9;731;310
2020;8;10;1196;1094
2020;8;11;622;509
2020;8;12;790;626
2020;8;13;997;730
2020;8;14;1066;659
2020;8;15;1170;1099
2020;8;16;561;451
2020;8;17;949;865
2020;8;18;939;824
2020;8;19;870;866
2020;8;20;511;449
2020;8;21;853;372
2020;8;22;1045;888
2020;8;23;995;326
2020;8;24;632;377
2020;8;25;565;469
2020;8;26;1078;800
2020;8;27;1116;401
2020;8;28;628;540
2020;8;29;774;600
2020;8;30;962;571
2020;8;31;549;466
2020;9;1;790;624
2020;9;2;589;331
2020;9;3;1173;628
2020;9;4;626;372
2020;9;5;1010;606
2020;9;6;996;992
2020;9;7;1177;822
2020;9;8;1063;1024
2020;9;9;575;300
2020;9;10;1135;788
2020;9;11;1118;755
2020;9;12;868;622
2020;9;13;782;588
2020;9;14;1155;1100
2020;9;15;893;656
2020;9;16;697;603
2020;9;17;688;481
2020;9;18;1172;374
2020;9;19;699;643
2020;9;20;884;640
2020;9;21;818;366
2020;9;22;1178;939
2020;9;23;1005;540
2020;9;24;1086;1009
2020;9;25;670;584
2020;9;26;1181;569
2020;9;27;617;437
2020;9;28;622;427
2020;9;29;1187;495
2020;9;30;547;331
2020;10;1;1134;386
2020;10;2;884;353
2020;10;3;989;383
2020;10;4;720;474
2020;10;5;848;653
2020;10;6;822;456
2020;10;7;695;695
2020;10;8;554;398
2020;10;9;900;877
2020;10;10;926;572
2020;10;11;1011;988
2020;10;12;894;752
2020;10;13;615;399
2020;10;14;899;362
2020;10;15;855;377
2020;10;16;786;307
2020;10;17;815;449
2020;10;18;518;494
2020;10;19;560;376
2020;10;20;644;453
2020;10;21;799;434
2020;10;22;581;371
2020;10;23;804;406
2020;10;24;522;346
2020;10;25;745;451
2020;10;26;1146;1052
2020;10;27;1140;894
2020;10;28;671;426
2020;10;29;540;512
2020;10;30;781;623
2020;10;31;670;484
2020;11;1;811;391
2020;11;2;1176;987
2020;11;3;734;700
2020;11;4;536;504
2020;11;5;894;664
2020;11;6;1199;498
2020;11;7;999;479
2020;11;8;1183;374
2020;11;9;503;463
2020;11;10;724;519
2020;11;11;1154;965
2020;11;12;1019;987
2020;11;13;952;443
2020;11;14;920;757
2020;11;15;961;584
2020;11;16;580;395
2020;11;17;761;583
2020;11;18;691;503
2020;11;19;1051;524
2020;11;20;1159;473
2020;11;21;1060;395
2020;11;22;1180;806
2020;11;23;569;357
2020;11;24;1178;1063
2020;11;25;989;586
2020;11;26;525;316
2020;11;27;773;600
2020;11;28;729;356
2020;11;29;1153;506
2020;11;30;1102;461
2020;12;1;851;412
2020;12;2;565;480
2020;12;3;858;743
2020;12;4;764;508
2020;12;5;887;342
2020;12;6;919;904
2020;12;7;581;481
2020;12;8;1194;430
2020;12;9;1153;928
2020;12;10;843;526
2020;12;11;879;375
2020;12;12;580;399
2020;12;13;876;690
2020;12;14;952;827
2020;12;15;1072;828
2020;12;16;942;839
2020;12;17;1115;708
2020;12;18;1115;722
2020;12;19;961;561
2020;12;20;1085;704
2020;12;21;1199;869
2020;12;22;618;442
2020;12;23;949;718
2020;12;24;1121;1041
2020;12;25;787;475
2020;12;26;1033;569
2020;12;27;703;691
2020;12;28;924;849
2020;12;29;667;625
2020;12;30;1164;1161
2020;12;31;1033;908
